"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Button.java", "Java", 13, 1, 1, 15
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Menu.java", "Java", 16, -1, 3, 18
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\folder.java", "Java", 43, 1, 9, 53
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Button.class", "Java", 7, 0, 0, 7
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$1.class", "Java", 3, 0, 1, 4
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu.class", "Java", 17, 0, 0, 17
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\folder.class", "Java", 6, 0, 0, 6
"Total", "-", 105, 1, 14, 120
